name,state_abbr,lat,long,pop_estimate_2022,county_fips,division,full_name,place_fips,sum_lev,lsadc,display_name,address,url,highest_score,contact_place_id
Folly Beach,SC,32.6692835,-79.9605766,2078,,5,Folly Beach city,26035,160,25,City of Folly Beach,,https://www.cityoffollybeach.com/,0.8181818181818181,6542a31da129cb65b87a72a8
Hawaii,HI,19.5977643,-155.5024434,200629,1,9,Hawaii County,,50,6,Hawaii County,"25 Aupuni St, Hilo, HI 96720, USA",https://www.hawaiicounty.gov/,0.8064516129032258,6542a35ba129cb65b87affdd
Liberty,SC,34.7909626,-82.7014393,3366,,5,Liberty city,41380,160,25,City of Liberty,"206 W Front St, Liberty, SC 29657, USA",https://www.libertysc.com/,0.7027027027027026,6542a336a129cb65b87aac58
University of Colorado,CO,,,,,,University of Colorado,,360,,University of Colorado,,https://www.colorado.edu/,0.6799999999999999,6542a30ba129cb65b87a3f9e
Pribilof School District,AK,57.1292352,-170.2661555,57,,9,Pribilof School District,670,970,0,Pribilof School District,"930 Tolstoi Blvd, St. Paul Island, AK, 99660",http://www.pribilofsd.org,0.6153846153846154,6596ece9280c2e17d827a131
Lexington,SC,33.8992461,-81.2661183,293991,63,5,Lexington County,,50,6,Lexington County,"LEXINGTON COUNTY ADMINISTRATION BUILDING, 212 S Lake Dr # B02, Lexington, SC 29072, USA",https://lex-co.sc.gov/,0.6956521739130435,6542a2e8a129cb65b87a03af
Juneau Borough School District,AK,58.3508139,-134.508332,4338,,9,Juneau Borough School District,210,970,0,Juneau Borough School District,"1208 Glacier Ave, Juneau, AK, 99801",https://www.juneauschools.org/,0.8333333333333334,6596ece9280c2e17d827a131
Colonial Beach,VA,38.2644068,-76.9937289,3908,,5,Colonial Beach town,18400,160,43,Town of Colonial Beach,"315 Douglas Ave, Colonial Beach, VA 22443, USA",http://www.colonialbeachva.net,0.6,6542a312a129cb65b87a50f7
Johnsonville,SC,33.8142395,-79.444288,1378,,5,Johnsonville city,37105,160,25,City of Johnsonville,,https://www.cityofjohnsonville.com/,0.7446808510638299,6542a32fa129cb65b87a9c8e
Mountain Brook,AL,33.4914885,-86.7344699,22461,,6,Mountain Brook city,51696,160,25,City of Mountain Brook,"56 Church St, Mountain Brook, AL 35213, USA",http://www.mtnbrook.org,0.7931034482758621,65a603f5c769fa16f6591412
Adelanto,CA,34.5809017,-117.4394577,38046,,9,Adelanto city,296,160,25,City of Adelanto,"11600 Air Expy, Adelanto, CA 92301, USA",https://adelantoca.gov,0.6818181818181819,6542a2e8a129cb65b87a0106
Crenshaw,AL,31.7303106,-86.3200384,13194,41,6,Crenshaw County,,50,6,Crenshaw County,"29 S Glenwood Ave # 202, Luverne, AL 36049, USA",https://www.crenshawcountyalonline.com/,0.625,65a603f5c769fa16f65912ac
Philadelphia,PA,40.0093755,-75.1333459,1603797,,2,Philadelphia city,60000,160,25,City of Philadelphia,"1400 John F Kennedy Blvd, Philadelphia, PA 19107, USA",http://www.phila.gov/,0.7619047619047619,6542a30ba129cb65b87a3f9e
Wrangell,AK,56.1807793,-132.0267878,2127,275,9,Wrangell City and Borough,,50,3,Wrangell City and Borough,"205 Brueger St, Wrangell, AK 99929, USA",http://www.wrangell.com/,0.8888888888888888,65a603f5c769fa16f65911e1
Clay,AL,33.2703999,-85.8635254,14236,27,6,Clay County,,50,6,Clay County,"75070 AL-9, Ashland, AL 36251, USA",https://alabamaclaycounty.com/,0.6,6542a2e8a129cb65b87a0299
Coosa,AL,32.9314453,-86.2434818,10387,37,6,Coosa County,,50,6,Coosa County,"100 Main St, Rockford, AL 35136, USA",https://www.coosacountyal.com/,0.8333333333333334,65a603f5c769fa16f65912c7
Hawaii,HI,19.8281671,-155.4950421,1455271,,9,Hawaii,,40,0,Hawaii,,https://portal.ehawaii.gov/,0.75,65a603f5c769fa16f6591531
Travis,TX,30.2395128,-97.6912697,1290188,453,7,Travis County,,50,6,Travis County,,http://www.traviscountytx.gov,0.71875,6542a322a129cb65b87a8270
York,VA,37.2209139,-76.395533,70045,199,5,York County,,50,6,York County,"224 Ballard St, Yorktown, VA 23690, USA",http://www.yorkcounty.gov,0.8333333333333334,6542a375a129cb65b87b3cd3
Northumberland,VA,37.8569736,-76.3796872,11839,133,5,Northumberland County,,50,6,Northumberland County,"72 Monument Pl, Heathsville, VA 22473, USA",https://www.co.northumberland.va.us/,0.6944444444444444,6542a34ca129cb65b87ad7fe
Faulkner,AR,35.1465478,-92.3369277,123498,45,7,Faulkner County,,50,6,Faulkner County,,https://www.faulknercountyar.gov,0.71875,6542a323a129cb65b87a86b6
Bishopville,SC,34.22007,-80.2473698,3024,,5,Bishopville city,6310,160,25,City of Bishopville,"135 E Church St, Bishopville, SC 29010, USA",https://cityofbishopvillesc.com/city-hall,0.8048780487804879,6542a302a129cb65b87a31e7
Gulf Shores,AL,30.2758365,-87.7012579,15014,,6,Gulf Shores city,32272,160,25,City of Gulf Shores,"1905 W 1st St, Gulf Shores, AL 36542, USA",https://www.gulfshoresal.gov/,0.7837837837837838,6542a323a129cb65b87a85c5
Scott,VA,36.7127756,-82.6136238,21576,169,5,Scott County,,50,6,Scott County,"267 E Willow St #101, Gate City, VA 24251, USA",https://www.scottcountyva.com/,0.7894736842105263,6542a35ca129cb65b87b0307
Estes Valley Recreation And Park District,CO,,,,,,Estes Valley Recreation And Park District,,360,,Estes Valley Recreation And Park District,,https://evrpd.colorado.gov/,0.6551724137931034,6542a312a129cb65b87a5136
Tuscaloosa,AL,33.2344041,-87.5283003,99600,,6,Tuscaloosa city,77256,160,25,City of Tuscaloosa,"2201 University Blvd, Tuscaloosa, AL 35401, USA",http://www.tuscaloosa.com,0.8333333333333334,65a603f5c769fa16f659148c
Ardmore,AL,34.9878376,-86.8290225,1321,,6,Ardmore town,2260,160,43,Town of Ardmore,"26494 1st St, Ardmore, AL 35739, USA",http://www.townofardmorealabama.com,0.7777777777777778,6542a2eca129cb65b87a07ec
Clanton,AL,32.8455725,-86.6194937,8768,,6,Clanton city,15136,160,25,City of Clanton,"505 2nd Ave N, Clanton, AL 35045, USA",https://www.clantonal.gov/,0.7692307692307692,6542a2e8a129cb65b87a01bd
Maricopa,AZ,33.3451756,-112.4989296,4420568,13,8,Maricopa County,,50,6,Maricopa County,"100 W Washington St, Phoenix, AZ 85003, USA",http://www.maricopa.gov/,0.76,6542a2eaa129cb65b87a0516
Mathews,VA,37.4253479,-76.2688078,8533,115,5,Mathews County,,50,6,Mathews County,,http://www.mathewscountyva.gov/,0.78125,6542a323a129cb65b87a86b6
Ridgeland,SC,32.468844,-80.9211249,3758,,5,Ridgeland town,60280,160,43,Town of Ridgeland,"1 Town Sq, Ridgeland, SC 29936, USA",http://www.ridgelandsc.gov/,0.7037037037037037,6542a2e8a129cb65b87a03af
Bentonville,AR,36.3530398,-94.250259,54164,,7,Bentonville city,5320,160,25,City of Bentonville,"305 SW A St, Bentonville, AR 72712, USA",http://www.bentonvillear.com/,0.75,6542a305a129cb65b87a33b5
Cowpens,SC,35.0186168,-81.8041208,2023,,5,Cowpens town,17260,160,43,Town of Cowpens,"5332 N Main St, Cowpens, SC 29330, USA",https://www.townofcowpens.com/,0.7692307692307692,6542a313a129cb65b87a558b
Columbia,AR,33.2230377,-93.2328433,22801,27,7,Columbia County,,50,6,Columbia County,"203 US-371, Magnolia, AR 71753, USA",https://www.countyofcolumbia.org/,0.8048780487804879,65a603f5c769fa16f659150d
Albemarle,VA,38.0241841,-78.5535056,112395,3,5,Albemarle County,,50,6,Albemarle County,,http://www.albemarle.org,0.6923076923076923,6542a302a129cb65b87a300b
Bluefield,VA,37.2352251,-81.2746595,5096,,5,Bluefield town,8152,160,43,Town of Bluefield,"112 Huffard Dr, Bluefield, VA 24605, USA",http://www.bluefieldva.org,0.6538461538461539,6542a302a129cb65b87a300b
Detroit,MI,42.3830375,-83.1022365,639111,,3,Detroit city,22000,160,25,City of Detroit,"2 Woodward Ave #1340, Detroit, MI 48226, USA",https://detroitmi.gov/,1.0,6542a316a129cb65b87a5e2d
Good Hope,AL,34.1103299,-86.8661784,2483,,6,Good Hope city,30496,160,25,City of Good Hope,"135 Municipal Dr, Cullman, AL 35057, USA",http://goodhopeal.com,0.6666666666666667,6542a321a129cb65b87a7f24
Saluda,SC,34.0011724,-81.7716376,3122,,5,Saluda town,63250,160,43,Town of Saluda,"100 S Jefferson St, Saluda, SC 29138, USA",http://www.townofsaluda.com/,0.6829268292682926,6542a35ba129cb65b87affac
Perry,AR,34.9463629,-92.9268773,10019,105,7,Perry County,,50,6,Perry County,"713 Aplin Ave, Perryville, AR 72126, USA",https://perrycoarkansas.org,0.7142857142857143,65a603f5c769fa16f6591531
Allendale,SC,33.0080468,-81.3091643,2694,,5,Allendale town,955,160,43,Town of Allendale,,https://townofallendale.sc.gov/,0.967741935483871,6542a2e8a129cb65b87a03af
Berlin,AL,34.1953957,-86.7436181,476,,6,Berlin town,5812,160,43,Town of Berlin,"461 Co Rd 1615, Cullman, AL 35058, USA",https://berlinal.gov,0.9523809523809523,65a603f5c769fa16f6591314
Airmont,NY,41.0991558,-74.0979158,10166,,2,Airmont village,408,160,47,Village of Airmont,,https://www.airmont.org/,0.75,6542a2eaa129cb65b87a06ac
Alice,TX,27.7556157,-98.0658117,17891,,7,Alice city,1852,160,25,City of Alice,"500 E Main St, Alice, TX 78332, USA",https://www.cityofalice.org/,0.8214285714285714,6542a322a129cb65b87a84a8
Columbia,SC,34.0405186,-80.9060995,136632,,5,Columbia city,16000,160,25,City of Columbia,"1737 Main St, Columbia, SC 29201, USA",https://columbiasc.gov/,0.8846153846153846,6542a312a129cb65b87a5136
Greenville,SC,34.8369021,-82.362997,70720,,5,Greenville city,30850,160,25,City of Greenville,"206 S Main St, Greenville, SC 29601, USA",http://www.greenvillesc.gov,0.7297297297297297,6542a322a129cb65b87a8438
Mississippi,AR,35.7669437,-90.0522072,40685,93,7,Mississippi County,,50,6,Mississippi County,"200 W Walnut St Apt 204, Blytheville, AR 72315, USA",https://www.mississippicountyar.org/,0.679245283018868,65a603f5c769fa16f659152e
Beverly Hills,MI,42.5225426,-83.2403404,10584,,3,Beverly Hills village,8160,160,47,Village of Beverly Hills,"18500 13 Mile Rd, Beverly Hills, MI 48025, USA",https://www.villagebeverlyhills.com/,0.6944444444444444,6542a302a129cb65b87a309a
Performing Arts Center Authority,FL,,,,,,Performing Arts Center Authority,,360,,Performing Arts Center Authority,,https://www.browardcenter.org/about/performing-arts-center-authority,0.627906976744186,657cc2a0aef9f78aa4a9ab29
Pinson,AL,33.7032913,-86.6697408,7215,,6,Pinson city,60648,160,25,City of Pinson,"4410 Main St, Pinson, AL 35126, USA",http://www.thecityofpinson.com/,0.7096774193548387,6542a31fa129cb65b87a78c4
Ada,OK,34.7662861,-96.666802,16481,,7,Ada city,200,160,25,City of Ada,"231 S Townsend Ave, Ada, OK 74820, USA",https://adaok.com/,0.736842105263158,65a603f5c769fa16f659158c
Amesbury Town,MA,42.8512771,-70.9557921,17366,,1,Amesbury Town city,1260,160,25,City of Amesbury Town,"62 Friend St, Amesbury, MA 01913, USA",https://www.amesburyma.gov/,0.7777777777777778,6542a2e8a129cb65b87a01bd
Amherst,VA,37.6293036,-79.1546672,31307,9,5,Amherst County,,50,6,Amherst County,"153 Washington St, Amherst, VA 24521, USA",http://www.countyofamherst.com,0.6976744186046512,6542a2eaa129cb65b87a0583
Dallas,TX,32.7933334,-96.7665128,1304379,,7,Dallas city,19000,160,25,City of Dallas,,https://dallascityhall.com,0.7692307692307692,6542a314a129cb65b87a590e
Roanoke,VA,37.278458,-79.9581739,100011,,5,Roanoke city,68000,160,25,City of Roanoke,"215 Church Ave SW # 456, Roanoke, VA 24011, USA",https://www.roanokeva.gov,0.72,6542a2e8a129cb65b87a01ea
Yakutat School District,AK,59.7539767,-140.1793425,92,,9,Yakutat School District,840,970,0,Yakutat School District,"429 Forest Hwy, Yakutat, AK, 99689",http://www.yakutatschools.org,0.8055555555555556,65a603f5c769fa16f65912a4
Barbour County School District,AL,31.8141795,-85.4231615,715,,6,Barbour County School District,300,970,0,Barbour County School District,"168 Western Bypass, Clayton, AL, 36016",https://www.barbourcountyschools.org/,0.8809523809523809,65a603f5c769fa16f65914cb
Ashville,AL,33.8351967,-86.2700148,2346,,6,Ashville city,2908,160,25,City of Ashville,"211 8th St, Ashville, AL 35953, USA",http://www.cityofashville.org,0.6774193548387097,6542a2e8a129cb65b87a0389
Harrisonburg,VA,38.4362547,-78.8733028,51814,,5,Harrisonburg city,35624,160,25,City of Harrisonburg,,https://www.harrisonburgva.gov,0.8823529411764706,6542a324a129cb65b87a8a44
Honea Path,SC,34.4476194,-82.3949569,3686,,5,Honea Path town,34810,160,43,Town of Honea Path,"204 S Main St, Honea Path, SC 29654, USA",https://honeapathsc.com/,0.7741935483870968,6542a329a129cb65b87a928d
Altoona,IA,41.6463533,-93.4786108,19565,,4,Altoona city,1630,160,25,City of Altoona,"900 Venbury Dr Suite A, Altoona, IA 50009, USA",https://www.altoona-iowa.com/,0.6896551724137931,6542a2e8a129cb65b87a0304
Berkeley,SC,33.2077,-79.9536554,229861,15,5,Berkeley County,,50,6,Berkeley County,"1003 US-52, Moncks Corner, SC 29461, USA",https://berkeleycountysc.gov,0.9655172413793104,6542a302a129cb65b87a2f50
County Line,AL,33.8207245,-86.7194667,311,,6,County Line town,17968,160,43,Town of County Line,,http://mycountyline.org,0.6086956521739131,6542a2e8a129cb65b87a0299
Hamilton,OH,39.1969272,-84.5441868,830639,61,3,Hamilton County,,50,6,Hamilton County,,http://www.hamilton-co.org,0.6538461538461539,6542a323a129cb65b87a876f
Las Vegas,NV,36.2334989,-115.2640367,641903,,8,Las Vegas city,40000,160,25,City of Las Vegas,"495 S Main St, Las Vegas, NV 89101, USA",http://www.lasvegasnevada.gov/,0.6666666666666667,6542a2e8a129cb65b87a0304
Oakland,FL,28.552076,-81.636676,3516,,5,Oakland town,50525,160,43,Town of Oakland,"220 N Tubb St, Oakland, FL 34760, USA",http://oaklandfl.gov/,0.6666666666666667,6542a2eca129cb65b87a09a0
Whatcom,WA,48.8426531,-121.8364325,226847,73,9,Whatcom County,,50,6,Whatcom County,"311 Grand Ave #108, Bellingham, WA 98225, USA",https://www.whatcomcounty.us/,0.8055555555555556,6542a370a129cb65b87b33a9
Bristol Bay Borough School District,AK,58.6833908,-156.7799575,121,,9,Bristol Bay Borough School District,30,970,0,Bristol Bay Borough School District,"# 2 School Rd N, Naknek, AK, 99633",http://www.bbbsd.net,0.64,65a603f5c769fa16f65914c9
Trussville,AL,33.6552328,-86.5632391,26123,,6,Trussville city,76944,160,25,City of Trussville,,https://trussville.org,0.7272727272727273,65a603f5c769fa16f659148b
Blount County School District,AL,33.9661998,-86.5980146,7798,,6,Blount County School District,420,970,0,Blount County School District,"204 2nd Ave East, Oneonta, AL, 35121",https://www.blountboe.net/,0.8125,65a603f5c769fa16f65914cf
Belton,SC,34.5233652,-82.4936177,4335,,5,Belton city,5365,160,25,City of Belton,"306 Anderson St, Belton, SC 29627, USA",https://cityofbeltonsc.com/,0.8181818181818181,6542a2ffa129cb65b87a2e0a
Seabrook Island,SC,32.5750134,-80.1820452,2050,,5,Seabrook Island town,64712,160,43,Town of Seabrook Island,"2001 Seabrook Island Rd, Seabrook Island, SC 29455, USA",http://www.townofseabrookisland.org/,0.8372093023255813,6542a35ca129cb65b87b0397
Matanuska-Susitna,AK,62.2656263,-149.5039935,107081,170,9,Matanuska-Susitna Borough,,50,4,Matanuska-Susitna Borough,,https://matsugov.us,0.8260869565217391,65a603f5c769fa16f65911d6
Chugach School District,AK,60.7200175,-146.7261132,637,,9,Chugach School District,800,970,0,Chugach School District,"9312 Vanguard Dr Ste 100, Anchorage, AK, 99507",https://www.chugachschooldistrict.com,0.8604651162790697,65a603f5c769fa16f65912cb
Fort Rucker School District,AL,31.3646765,-85.7254175,4480,,6,Fort Rucker School District,1,970,0,Fort Rucker School District,,https://www.dodea.edu/americas/southeast/fort-novosel-schools,0.7176470588235294,65a603f5c769fa16f65914ba
Cullman County School District,AL,34.1592153,-86.822049,9846,,6,Cullman County School District,1020,970,0,Cullman County School District,"402 Arnold St NE, Cullman, AL, 35055",https://www.ccboe.org/,0.9090909090909091,65a603f5c769fa16f65914ca
Elba City School District,AL,31.4174725,-86.0877672,685,,6,Elba City School District,1260,970,0,Elba City School District,"131 Tiger Dr, Elba, AL, 36323",https://www.elbaed.com/,0.7692307692307692,65a603f5c769fa16f659147e
Carlisle,AR,34.7954255,-91.7404936,2033,,7,Carlisle city,11500,160,25,City of Carlisle,"120 W Main St, Carlisle, AR 72024, USA",https://www.carlislear.org/,0.7142857142857143,6542a322a129cb65b87a84a8
Boaz,AL,34.1990204,-86.1551515,10107,,6,Boaz city,7912,160,25,City of Boaz,"112 N Broad St, Boaz, AL 35957, USA",https://www.cityofboaz.org/,0.8214285714285714,6542a322a129cb65b87a84a8
James Island,SC,32.7361218,-79.9371837,11621,,5,James Island town,36430,160,43,Town of James Island,"1122 Dills Bluff Rd, Charleston, SC 29412, USA",https://www.jamesislandsc.us/,0.6590909090909092,6542a32ba129cb65b87a9a44
Port Royal,SC,32.3553711,-80.700252,14220,,5,Port Royal town,58030,160,43,Town of Port Royal,"700 Paris Ave, Port Royal, SC 29935, USA",https://www.portroyal.org/,0.7307692307692308,6542a323a129cb65b87a85bf
Jefferson,AL,33.5534439,-86.8965359,674721,73,6,Jefferson County,,50,6,Jefferson County,"716 Richard Arrington Jr Blvd N, Birmingham, AL 35203, USA",http://www.jccal.org/,0.782608695652174,6542a323a129cb65b87a85bf
Smiths Station,AL,32.5071588,-85.0810754,5384,,6,Smiths Station city,71190,160,25,City of Smiths Station,"2336 Lee Rd #430, Smiths Station, AL 36877, USA",https://www.smithsstational.gov,0.7948717948717949,65a603f5c769fa16f659146b
Hot Springs,AR,34.4894422,-93.0502538,37930,,7,Hot Springs city,33400,160,25,City of Hot Springs,,http://www.cityhs.net/,0.7096774193548387,65a603f5c769fa16f659163b
Essex,VA,37.936389,-76.9337475,10599,57,5,Essex County,,50,6,Essex County,"202 S Church Ln, Tappahannock, VA 22560, USA",https://www.essexva.gov,0.7083333333333333,6542a2e8a129cb65b87a01bd
New Mexico,NM,34.4346843,-106.1316181,2117522,,8,New Mexico,,40,0,New Mexico,,https://www.nm.gov/,0.8947368421052632,6542a30ba129cb65b87a3f9e
Petersburg,VA,37.2047302,-77.3923681,33458,,5,Petersburg city,61832,160,25,City of Petersburg,"135 N Union St, Petersburg, VA 23803, USA",http://www.petersburgva.gov/,0.75,6542a305a129cb65b87a35af
Elmore County School District,AL,32.5729275,-86.2546922,11971,,6,Elmore County School District,1290,970,0,Elmore County School District,"100 H H Robison Drive, Wetumpka, AL, 36092",https://www.elmoreco.com/,0.8620689655172413,65a603f5c769fa16f65914ec
Lavaca,AR,35.3301993,-94.1828847,2450,,7,Lavaca city,38890,160,25,City of Lavaca,"808 W Main St, Lavaca, AR 72941, USA",http://www.cityoflavaca.com/,0.7741935483870968,6542a31da129cb65b87a72a8
Rockingham,VA,38.5075848,-78.8853213,83757,165,5,Rockingham County,,50,6,Rockingham County,"20 E Gay St, Harrisonburg, VA 22802, USA",http://www.rockinghamcountyva.gov,0.75,6542a359a129cb65b87af998
Summerville,SC,33.0021419,-80.1795892,50915,,5,Summerville town,70270,160,43,Town of Summerville,"900 late vein, Summerville, SC 29483, USA",http://www.summervillesc.gov/,0.7837837837837838,6542a365a129cb65b87b16d2
Marshall County School District,AL,34.3598046,-86.3394968,5951,,6,Marshall County School District,6,970,0,Marshall County School District,"12380 US Highway 431 S, Guntersville, AL, 35976",https://www.marshallk12.org/,0.7142857142857143,6596ece9280c2e17d827a131
Johnson,AR,35.5733586,-93.4663223,25749,71,7,Johnson County,,50,6,Johnson County,"1697 AR-21, Clarksville, AR 72830, USA",http://johnsoncounty.arkansas.gov/,0.8095238095238095,65a603f5c769fa16f6591524
Alcorn,MS,34.8865689,-88.5811091,34740,3,6,Alcorn County,,50,6,Alcorn County,"501 E Waldron St, Corinth, MS 38834, USA",https://www.alcorncounty.org,0.8214285714285714,6542a2e8a129cb65b87a0299
Ann Arbor,MI,42.2761471,-83.7308596,123851,,3,Ann Arbor city,3000,160,25,City of Ann Arbor,"301 E Huron St, Ann Arbor, MI 48104, USA",https://www.a2gov.org,0.75,6542a2eaa129cb65b87a06ac
Frisco,TX,33.1554266,-96.8225959,200509,,7,Frisco city,27684,160,25,City of Frisco,"6101 Frisco Square Blvd, Frisco, TX 75034, USA",http://www.friscotexas.gov,0.6666666666666667,6542a31fa129cb65b87a7817
Richland,SC,34.0290952,-80.8980371,416147,79,5,Richland County,,50,6,Richland County,"2020 Hampton St, Columbia, SC 29204, USA",http://www.richlandcountysc.gov/,0.6875,6542a322a129cb65b87a8270
Wythe,VA,36.8998674,-81.0830007,28290,197,5,Wythe County,,50,6,Wythe County,"340 S 6th St, Wytheville, VA 24382, USA",http://www.wytheco.org,0.6428571428571428,6542a31ba129cb65b87a6a23
Clay,AR,36.3673021,-90.4187041,14552,21,7,Clay County,,50,6,Clay County,"187 N 2nd Ave, Piggott, AR 72454, USA",https://www.claycountyarkansas.org/,0.6818181818181819,65a603f5c769fa16f6591526
Brewton,AL,31.1091749,-87.0765833,5276,,6,Brewton city,9208,160,25,City of Brewton,,http://www.cityofbrewton.org,0.75,6542a322a129cb65b87a84a8
East Brewton,AL,31.0914404,-87.055345,2293,,6,East Brewton city,22216,160,25,City of East Brewton,,http://www.cityofbrewton.org,0.75,6542a322a129cb65b87a84a8
Oklahoma City,OK,35.4670795,-97.5136565,681054,,7,Oklahoma City city,55000,160,25,City of Oklahoma City,"200 N Walker Ave, Oklahoma City, OK 73102, USA",http://www.okc.gov/,0.7894736842105263,6542a30ba129cb65b87a3f9e
Kenai Peninsula,AK,60.360766,-152.0526403,58799,122,9,Kenai Peninsula Borough,,50,4,Kenai Peninsula Borough,"144 N Binkley St, Soldotna, AK 99669, USA",https://www.kpb.us/,0.8947368421052632,6542a34ca129cb65b87ad6d5
Daleville City School District,AL,31.2907535,-85.7344838,1154,,6,Daleville City School District,1080,970,0,Daleville City School District,"626 N Daleville Ave, Daleville, AL, 36322",https://www.daleville.k12.al.us/,0.7804878048780488,65a603f5c769fa16f65914e5
Crawford,AR,35.5830114,-94.2362187,60133,33,7,Crawford County,,50,6,Crawford County,"3703 Pointer Trail E, Van Buren, AR 72956, USA",http://www.crawford-county.org,0.7,6542a2eaa129cb65b87a06ac
Allendale,SC,32.9797573,-81.3632651,8039,5,5,Allendale County,,50,6,Allendale County,"Memorial Ave N, Allendale, SC 29810, USA",https://www.allendalecounty.com/,0.6944444444444444,65a603f5c769fa16f659150c
Bristol,VA,36.6169541,-82.1575641,17219,,5,Bristol city,9816,160,25,City of Bristol,"300 Lee St Suite 202, Bristol, VA 24201, USA",https://www.bristolva.org/,0.7878787878787878,6542a306a129cb65b87a38fb
Clay,AL,33.6965832,-86.6081819,10291,,6,Clay city,15256,160,25,City of Clay,"2441 Old Springville Rd, Birmingham, AL 35215, USA",https://clayalabama.org/,0.7083333333333333,6542a2e8a129cb65b87a01bd
Grayson,VA,36.6522288,-81.215324,15333,77,5,Grayson County,,50,6,Grayson County,"129 State Rte T 1101, Independence, VA 24348, USA",https://www.graysoncountyva.gov/,1.0,6542a322a129cb65b87a8270
Eastern Rio Blanco Metro Recreation And Parks District,CO,,,,,,Eastern Rio Blanco Metro Recreation And Parks District,,360,,Eastern Rio Blanco Metro Recreation And Parks District,,https://www.erbmrec.com/,0.8275862068965517,6580ba5daf7027edb913ec78
Adak,AK,51.9098894,-176.5980669,171,,9,Adak city,65,160,25,City of Adak,"100 Mechanic Rd b122, Adak, AK 99546, USA",https://adak-ak.gov/,0.75,6542a2eca129cb65b87a084a
Kodiak Island Borough School District,AK,57.9041085,-153.042685,2228,,9,Kodiak Island Borough School District,480,970,0,Kodiak Island Borough School District,"722 Mill Bay Rd, Kodiak, AK, 99615",https://www.kibsd.org/,0.8181818181818181,65a603f5c769fa16f65914ca
Batesville,AR,35.768572,-91.6226517,11191,,7,Batesville city,4030,160,25,City of Batesville,"Batesville Municipal Building, 500 E Main St #100, Batesville, AR 72501, USA",https://www.batesvillearkansas.gov,0.6764705882352942,65a603f5c769fa16f659156e
Clayhatchee,AL,31.236925,-85.7214778,466,,6,Clayhatchee town,15304,160,43,Town of Clayhatchee,"Daleville, AL 36322, USA",https://clayalabama.org,0.7083333333333333,6542a2e8a129cb65b87a01bd
Clayton,AL,31.8822767,-85.4604536,2265,,6,Clayton town,15376,160,43,Town of Clayton,"45 Reed Ave, Clayton, AL 36016, USA",https://clayalabama.org,0.7083333333333333,6542a2e8a129cb65b87a01bd
Fredericksburg,VA,38.2992718,-77.4866583,27982,,5,Fredericksburg city,29744,160,25,City of Fredericksburg,"715 Princess Anne St, Fredericksburg, VA 22401, USA",http://www.fredericksburgva.gov,0.7560975609756098,6542a31fa129cb65b87a76f5
Huntsville,AL,34.7822752,-86.5325989,215006,,6,Huntsville city,37000,160,25,City of Huntsville,"308 Fountain Cir SW, Huntsville, AL 35801, USA",https://www.huntsvilleal.gov,0.78125,6542a305a129cb65b87a33b5
Isle of Palms,SC,32.8039438,-79.7523529,4347,,5,Isle of Palms city,36115,160,25,City of Isle of Palms,"1207 Palm Blvd, Isle of Palms, SC 29451, USA",http://www.iop.net/,0.7307692307692308,6542a32ba129cb65b87a98dd
North Charleston,SC,32.9178812,-80.065,114852,,5,North Charleston city,50875,160,25,City of North Charleston,"2500 City Hall Ln, North Charleston, SC 29406, USA",http://www.northcharleston.org/,0.7948717948717949,6542a34aa129cb65b87ad616
Scottsdale,AZ,33.6842718,-111.8614483,241361,,8,Scottsdale city,65000,160,25,City of Scottsdale,"City Hall, 3939 N Drinkwater Blvd, Scottsdale, AZ 85251, USA",http://www.scottsdaleaz.gov,0.7714285714285715,6542a35ca129cb65b87b0340
Soldotna,AK,60.4853176,-151.0690145,4342,,9,Soldotna city,71640,160,25,City of Soldotna,"177 N Birch St, Soldotna, AK 99669, USA",http://soldotna.org/,0.6363636363636364,6542a31ca129cb65b87a7081
Galena City School District,AK,64.7385981,-156.8848626,7177,,9,Galena City School District,130,970,0,Galena City School District,"299 Antoski Ave, Galena, AK, 99741",https://www.galenaalaska.org/,0.725,65a603f5c769fa16f6591285
Boaz City School District,AL,34.2002987,-86.1560019,2471,,6,Boaz City School District,12,970,0,Boaz City School District,"126 Newt Parker Dr, Boaz, AL, 35957",https://www.boazk12.org/,0.75,65a603f5c769fa16f65914bf
Fort Mill,SC,35.0059974,-80.9400001,24521,,5,Fort Mill town,26890,160,43,Town of Fort Mill,"200 Tom Hall St, Fort Mill, SC 29715, USA",https://fortmillsc.gov/,0.6538461538461539,6542a312a129cb65b87a5136
West Columbia,SC,33.9901302,-81.0993542,17416,,5,West Columbia city,75850,160,25,City of West Columbia,"200 N 12th St, West Columbia, SC 29169, USA",https://westcolumbiasc.gov/,0.8518518518518519,6542a312a129cb65b87a5136
Pike,AL,31.7986533,-85.9416076,33009,109,6,Pike County,,50,6,Pike County,"900 S Franklin Dr, Troy, AL 36081, USA",https://www.pikecommission.com,0.8333333333333334,65a603f5c769fa16f65912d7
Valley Grande,AL,32.4868717,-87.0327731,4190,,6,Valley Grande city,78232,160,25,City of Valley Grande,"5914 AL-22, Valley Grande, AL 36701, USA",https://cityofvalley.com,0.75,65a603f5c769fa16f6591494
Delta/Greely School District,AK,64.0124057,-145.6485807,938,,9,Delta/Greely School District,100,970,0,Delta/Greely School District,"1664 N Clearwater, Delta Junction, AK, 99737",https://www.dgsd.us/,0.8,6542a34ca129cb65b87ad6d5
